,warszawa,warszawa,warszawa,warszawa,warszawa,warszawa,krakow,krakow,krakow,krakow,krakow,krakow,poznan,poznan,poznan,poznan,poznan,poznan,katowice,katowice,katowice,katowice,katowice,katowice,bialystok,bialystok,bialystok,bialystok,bialystok,bialystok
,pm25,pm10,no2,so2,o3,co,pm25,pm10,no2,so2,o3,co,pm25,pm10,no2,so2,o3,co,pm25,pm10,no2,so2,o3,co,pm25,pm10,no2,so2,o3,co
2020-11-29,17.644749999999995,18.67875,16.05322916666667,3.895,14.256364583333335,719.625,24.003254166666668,24.09676672222222,19.3236407368421,6.14850574468085,10.215966956521738,539.9829166666666,13.71946711111111,14.795286888888889,9.864887571428568,21.825913043478266,17.703869999999995,601.5560869565219,33.23551041666667,35.11364166666666,18.481881249999997,10.83349125,10.447622500000001,421.6256521739132,9.5,10.330416666666666,7.458333333333333,0.5541666666666666,17.125,267.9166666666667
2020-11-30,30.879,34.48166666666666,26.170625,4.805,7.668870526315792,1043.7083333333333,46.01826875,44.53167558139532,31.115047708333332,7.514702500000001,3.6254760869565215,851.7999999999998,26.862954166666658,29.751025,22.226083333333328,22.36499166666667,7.545538333333332,777.014791666667,47.360695833333345,50.37364791666665,35.73081041666667,11.115317916666664,5.002838333333332,718.8045833333335,16.333333333333332,14.481250000000001,15.387500000000001,0.3458333333333334,18.625,406.4166666666667
2020-12-01,39.40026086956521,42.03758620689654,25.446236559139784,6.258260869565219,8.37250777777778,943.6818181818181,36.653616666666665,45.007364012738854,42.18778522727271,5.970845641025641,10.009261666666667,860.6062499999999,32.066375,36.818079166666664,21.153347222222223,24.163333333333338,8.274882083333333,684.9241666666667,59.33601666666666,73.62088541666668,50.94228125000001,14.721004166666665,10.998581666666666,839.4020833333333,28.458333333333332,39.00333333333334,16.008333333333336,1.2291666666666667,12.625,474.7916666666667
2020-12-02,30.834100000000003,33.19159999999999,19.047625000000004,6.1215,20.6550875,735.5,60.546445000000006,58.5285633802817,30.649159999999988,4.82232925,11.7877415,804.25675,51.94862499999999,57.259719999999994,19.21977833333333,23.723845000000004,12.248192500000002,776.4261764705883,85.9693925,93.62758499999998,47.82077500000001,20.267745,4.4540820000000005,1009.4610000000002,26.35,30.37789473684211,16.82,0.265,13.866666666666667,473.95
2020-12-03,29.796000000000003,31.88399999999999,15.476071428571432,6.740714285714285,23.10598181818182,714.0714285714286,78.33569333333334,71.61252450980389,46.25957500000002,7.758113,8.103476000000002,1181.1306666666667,49.64191428571429,52.20366428571429,19.225989750000007,16.764666153846154,17.354290714285714,1037.1746153846152,73.90582666666666,82.99380999999998,51.58177333333333,23.361173333333333,4.648853999999999,838.6453333333335,18.533333333333335,21.720000000000002,6.286666666666665,0.42,30.083333333333332,341.46666666666664
2020-12-04,24.14458333333333,25.82933333333334,16.932604166666668,5.687083333333334,22.160739583333335,728.2916666666666,34.695724999999996,39.91410416666665,49.23788555555556,6.813312857142855,14.69433277777778,1049.975,40.950275,43.55480416666666,25.842263380281693,12.762447916666666,11.898302083333334,723.4795652173913,37.59160624999999,46.02513750000001,48.17540425531915,16.37752916666667,16.42109166666667,640.0587499999999,12.75,15.332500000000001,5.883333333333332,0.3291666666666667,30.666666666666668,335.7083333333333
2020-12-05,21.99571428571427,23.792857142857144,13.298035714285717,7.688571428571429,33.82035714285714,693.4285714285714,18.34186206896552,22.086420000000007,52.72433953488372,4.452312,14.700953973063974,870.2146666666666,25.700339999999997,27.841253333333334,13.967303555555555,12.954446666666664,27.370666666666672,408.688,18.429141379310344,22.60940689655172,32.4862724137931,13.1668,31.78789785714286,428.7526666666667,14.6,20.050666666666668,3.226666666666667,0.3466666666666666,36.733333333333334,300.2
2020-12-06,19.877000000000006,20.616909090909086,7.959999999999999,4.865454545454546,35.52670454545455,639.5,22.565037608695647,22.10853475177305,31.64405942028984,5.002840869565218,14.707575168350168,791.792608695652,20.89045833333333,22.97305,8.553946111111111,9.444680000000002,36.07622916666667,371.62416666666667,33.565641304347835,38.64195869565217,36.77137608695652,13.860403478260865,25.963197391304348,524.3043478260869,14.73913043478261,17.00565217391305,3.099999999999999,0.46956521739130447,41.54545454545455,299.7826086956522
2020-12-07,15.75808695652174,17.96486956521739,11.128695652173915,5.363043478260869,41.100217391304334,621.5652173913044,23.29166521739131,25.088210800000002,26.69519506172838,7.931532647058823,14.714196363636363,676.1367391304346,21.237621739130432,24.26884347826087,12.949224776119404,10.127184545454545,22.045630434782606,346.94590909090914,33.91634130434782,41.237930434782605,40.79736086956521,14.779795652173913,10.36036304347826,499.7208695652173,10.782608695652174,17.979130434782608,5.717391304347825,1.6173913043478259,45.56521739130435,297.69565217391306
2020-12-08,21.5672380952381,24.194285714285716,12.76565217391304,5.744347826086956,29.52516483516483,661.5652173913044,33.22568478260869,33.40943197674418,24.913630652173904,5.2867739130434765,13.098964347826085,743.8384782608697,31.404579166666664,38.87350416666667,16.106530972222224,7.8426649999999976,14.719475833333336,405.2254166666666,50.06536086956523,54.03376521739131,37.56909130434783,14.78905608695652,4.716565217391304,663.5430434782608,17.608695652173914,26.202608695652174,6.869565217391303,1.0608695652173912,35.608695652173914,295.2173913043478
